id,title,lat,lon,city,state,postcode,operator,num_connections,num_points,max_power_kw,speed_category,is_operational,year_created,cluster,is_free,is_desert
185548,Breite Str. 20 ,52.39542242193673,13.049662270042177,Potsdam,,14467 ,,1,2,22.0,Medium (22-49 kW),,2021,3,False,False
185535,Weender Landstraße 59,51.545069,9.93094,Göttingen,,37075,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185534,Grellsbüllerstr. 4,54.86667,8.86667,Humptrup,,25923,,1,1,22.0,Medium (22-49 kW),,2021,0,False,False
185533,Siethwender Chaussee,53.76638,9.62722,Raa-Besenbek,,25335,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185532,Ganghoferstr. 94a,48.126255,11.539067,München,,81373,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185530,Bornstraße 160,51.528744,7.470954,Dortmund,,44145,,3,3,50.0,Fast (50-99 kW),,2021,2,False,False
185529,Bernadottestraße 212,53.54851,9.88841,Hamburg,,22605,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185528,Friesische Lücke 15,54.77686,9.41855,Flensburg,,24937,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185527,Universitätsplatz 4,50.55190167,9.678708422,Fulda,,36037,,4,4,22.0,Medium (22-49 kW),,2021,5,False,False
185526,Omsewitzer Ring 45,51.04913,13.66324,Dresden Gabitz,,01169,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185525,Falshöft Parkplatz Strand ,54.7704412,9.961035,Nieby,,24395,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185524,Stephan-Niderehe-Straße,50.792864,8.751364,Marburg,,35037,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185523,Tastruper Weg 50,54.765799,9.47798,Tastrup,,24943,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185522,Flensburger Str. 36,54.76551,9.577511,Husby,,24975,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185521,Feldstraße 51,53.556978,9.973255,Hamburg,,22357,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185520,Einsteinallee 2,48.353883,7.807496,Lahr,,77933,,3,3,50.0,Fast (50-99 kW),,2021,5,False,False
185519,Ammersche Landstraße 27-31,51.223522,10.455457,Mühlhausen,,99974,,2,2,150.0,Ultra-Fast (>=100 kW),,2021,4,False,False
185518,Wiehekrug 2,54.707683,9.259578,Großenwiehe,,24969,,6,6,11.0,Slow (<22 kW),,2021,0,False,False
185517,Dürerplatz 6,48.606967,9.340706,Nürtingen,,72622,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185516,Gewerbestraße 11,53.398364078498,8.117244243622,Varel,,26316,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185515,Am Hexenbuckel 1,48.696,9.0275,Böblingen,,71032,,4,4,22.0,Medium (22-49 kW),,2021,5,False,False
185514,Freisinger Str. 112 ,48.459498,11.148247,Aichach,,86551,,3,3,50.0,Fast (50-99 kW),,2021,1,False,False
185513,Tarper Str. 19,54.688882,9.338586,Wanderup,,24997,,1,1,22.0,Medium (22-49 kW),,2021,0,False,False
185512,Josef-Lang-Str. 5,48.149826,11.47155,München,,81245,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185511,Kirchstraße 2,48.2995,9.99078,Staig,,89195,,3,3,50.0,Fast (50-99 kW),,2021,1,False,False
185510,Schiffbauergasse vor Nr. 17,52.404056,13.074111,Potsdam,,14467,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
